startWochentag;startDatum;startKM;startOrt;endeWochentag;endeDatum;endeKM;endeOrt;ereignis;bemerkung
Wed;11.04.2018.10:30;128404;Primas - WOB;Wed;11.04.2018.14:00;128901;TimeTec;Fahrt;
Sun;08.04.2018.19:45;128401;HEM - Wolfsburg;Sun;08.04.2018.20:00;128404;Primas - WOB;Fahrt;
Sun;08.04.2018.15:30;127902;TimeTec;Sun;08.04.2018.19:20;128401;HEM - Wolfsburg;Fahrt;
Sat;07.04.2018.09:00;127889;Esso - Karau - Landstuhl;Sat;07.04.2018.09:20;127902;TimeTec;Fahrt;
Sat;07.04.2018.08:00;127878;TimeTec;Sat;07.04.2018.08:20;127889;Esso - Karau - Landstuhl;Fahrt;Reifernwechsel zum Herrn Karau - Leider ging Radschlüssel kaputt
Fri;06.04.2018.16:15;127811;VKB - Saarbrücken;Fri;06.04.2018.17:30;127878;TimeTec;Fahrt;
Fri;06.04.2018.06:00;127747;TimeTec;Fri;06.04.2018.07:00;127811;VKB - Saarbrücken;Fahrt;
Thu;05.04.2018.17:15;127680;VKB - Saarbrücken;Thu;05.04.2018.18:00;127747;TimeTec;Fahrt;
Thu;05.04.2018.06:00;127615;TimeTec;Thu;05.04.2018.06:45;127680;VKB - Saarbrücken;Fahrt;
Wed;04.04.2018.16:30;127117;Primas - WOB;Wed;04.04.2018.21:00;127615;TimeTec;Fahrt;
Mon;02.04.2018.20:00;127114;HEM - Wolfsburg;Mon;02.04.2018.20:10;127117;Primas - WOB;Fahrt;
Mon;02.04.2018.15:30;126618;TimeTec;Mon;02.04.2018.19:45;127114;HEM - Wolfsburg;Fahrt;
Sat;31.03.2018.11:40;126599;Total - KL;Sat;31.03.2018.12:00;126618;TimeTec;Fahrt;
Sat;31.03.2018.11:00;126578;TimeTec;Sat;31.03.2018.11:25;126599;Total - KL;Fahrt;
Fri;30.03.2018.17:15;126515;VKB Saarbrücken;Fri;30.03.2018.18:15;126578;TimeTec;Fahrt;
Fri;30.03.2018.06:10;126449;TimeTec ;Fri;30.03.2018.07:00;126515;VKB Saarbrücken;Fahrt;
Thu;29.03.2018.16:30;126386;VKB - Saarbrücken;Thu;29.03.2018.17:15;126449;TimeTec ;Fahrt;
Thu;29.03.2018.06:00;126322;TimeTec;Thu;29.03.2018.06:45;126386;VKB - Saarbrücken;Fahrt;
Tue;27.03.2018.16:30;125826;Primas - WOB;Tue;27.03.2018.20:30;126322;TimeTec;Fahrt;
Tue;27.03.2018.14:30;125823;BZN - Wolfsburg;Tue;27.03.2018.14:45;125826;Primas - WOB;Fahrt;
Tue;27.03.2018.12:00;125819;Primas - WOB;Tue;27.03.2018.12:10;125823;BZN - Wolfsburg;Fahrt;Rüdiger Sendzig
Mon;26.03.2018.15:20;125817;ESSO - Pirali;Mon;26.03.2018.15:30;125819;Primas - WOB;Fahrt;
Mon;26.03.2018.15:00;125815;Primas - WOB;Mon;26.03.2018.15:05;125817;ESSO - Pirali;Fahrt;
Mon;26.03.2018.14:15;125811;BZN - Wolfsburg;Mon;26.03.2018.14:45;125815;Primas - WOB;Fahrt;
Mon;26.03.2018.10:00;125806;Primas - WOB;Mon;26.03.2018.10:15;125811;BZN - Wolfsburg;Fahrt;Rüdiger Sendzig
Sun;25.03.2018.16:30;125310;TimeTec;Sun;25.03.2018.20:30;125806;Primas - WOB;Fahrt;
Sun;25.03.2018.14:50;125292;Total - KL;Sun;25.03.2018.15:15;125310;TimeTec;Fahrt;
Sun;25.03.2018.14:15;125275;TimeTec;Sun;25.03.2018.14:30;125292;Total - KL;Fahrt;
Sat;24.03.2018.16:30;125204;VKB - Saarbrücken;Sat;24.03.2018.18:00;125275;TimeTec;Fahrt;
Sat;24.03.2018.11:00;125139;TimeTec;Sat;24.03.2018.12:00;125204;VKB - Saarbrücken;Fahrt;
Fri;23.03.2018.16:10;125072;VKB - Saarbrücken;Fri;23.03.2018.17:00;125139;TimeTec;Fahrt;
Fri;23.03.2018.06:00;125005;TimeTec;Fri;23.03.2018.06:50;125072;VKB - Saarbrücken;Fahrt;
