startWochentag;startDatum;startKM;startOrt;endeWochentag;endeDatum;endeKM;endeOrt;ereignis;bemerkung
Mon;18.12.2017.10:15;110510;Primas - Wolfsburg;Mon;18.12.2017.10:30;110528;Hotz-Heitmann - WOB;Fahrt;Inclusive Probefahrt zum Besprechen des notwendigen Services
Sun;17.12.2017.19:50;110507;HEM - Wolfsburg;Sun;17.12.2017.18:00;110510;Primas - Wolfsburg;Fahrt;
Sun;17.12.2017.19:30;110503;Primas - WOB;Sun;17.12.2017.19:40;110507;HEM - Wolfsburg;Fahrt;
Sun;17.12.2017.15:00;110025;TimeTec ;Sun;17.12.2017.19:30;110503;Primas - WOB;Fahrt;
Fri;15.12.2017.15:40;109963;JET - Kaiserslautern;Fri;15.12.2017.16:00;109980;TimeTec;Fahrt;
Fri;15.12.2017.14:30;109892;VKB - Saarbrücken;Fri;15.12.2017.15:30;109963;JET - Kaiserslautern;Fahrt;
Fri;15.12.2017.05:45;109828;TimeTec;Fri;15.12.2017.06:45;109892;VKB - Saarbrücken;Fahrt;
Thu;14.12.2017.16:45;109762;VKB - Saarbrücken;Thu;14.12.2017.17:30;109828;TimeTec;Fahrt;
Thu;14.12.2017.06:00;109700;TimeTec;Thu;14.12.2017.07:00;109762;VKB - Saarbrücken;Fahrt;
Wed;13.12.2017.12:30;109211;Primas - WOB;Wed;13.12.2017.20:15;109700;TimeTec;Fahrt;
Mon;11.12.2017.16:55;109209;ESSO - Pirali - WOB;Mon;11.12.2017.17:00;109211;Primas - Wolfsburg;Fahrt;
Tue;12.12.2017.16:40;109208;Primas - WOB;Mon;11.12.2017.16:45;109209;ESSO - Pirali - WOB;Fahrt;
Sun;10.12.2017.15:15;108720;Total - Station - KL;Sun;10.12.2017.21:30;109208;Primas - Wolfsburg;Fahrt;
Sun;10.12.2017.14:45;108702;TimeTec;Sun;10.12.2017.15:00;108720;Total - Station - KL;Fahrt;
Fri;08.12.2017.16:30;108636;VKB - Saarbrücken ;Fri;08.12.2017.17:15;108702;TimeTec ;Fahrt;
Fri;08.12.2017.06:00;108569;TimeTec ;Fri;08.12.2017.06:45;108636;VKB - Saarbrücken ;Fahrt;
Thu;07.12.2017.16:30;108505;VKB - Saarbrücken ;Thu;07.12.2017.17:30;108569;TimeTec ;Fahrt;
Thu;07.12.2017.06:00;108440;TimeTec;Thu;07.12.2017.07:15;108505;VKB - Saarbrücken ;Fahrt;
Wed;06.12.2017.12:30;107947;Primas - WOB;Wed;06.12.2017.18:30;108440;TimeTec;Fahrt;
Tue;05.12.2017.16:55;107945;Esso - Pirali - WOB;Tue;05.12.2017.17:05;107947;Primas - WOB;Fahrt;
Tue;05.12.2017.16:30;107944;Primas - WOB;Tue;05.12.2017.17:40;107945;Esso - Pirali - WOB;Fahrt;
Sun;03.12.2017.10:00;107448;TimeTec ;Sun;03.12.2017.15:30;107944;Primas - WOB;Fahrt;
Fri;01.12.2017.22:15;107430;JET - Kaiserslautern ;Fri;01.12.2017.22:45;107448;TimeTec ;Fahrt;
Fri;01.12.2017.21:00;107357;VKB - Saarbrücken ;Fri;01.12.2017.22:00;107430;JET - Kaiserslautern ;Fahrt;
Fri;01.12.2017.06:00;107289;TimeTec ;Fri;01.12.2017.06:45;107357;VKB - Saarbrücken ;Fahrt;
Thu;30.11.2017.16:45;107225;VKB - Saarbrücken ;Thu;30.11.2017.17:45;107289;TimeTec ;Fahrt;
Thu;30.11.2017.06:15;107160;TimeTec;Thu;30.11.2017.07:45;107225;VKB - Saarbrücken ;Fahrt;
Wed;29.11.2017.12:30;106663;Primas - WOB;Wed;29.11.2017.18:45;107160;TimeTec;Fahrt;
Tue;28.11.2017.17:10;106661;Esso - Pirali - WOB;Tue;28.11.2017.17:20;106663;Primas - WOB;Fahrt;
Tue;28.11.2017.16:45;106660;Primas - Wolfsburg;Tue;28.11.2017.16:55;106661;Esso - Pirali - WOB;Fahrt;
Sun;26.11.2017.15:00;106168;TimeTec;Sun;26.11.2017.19:30;106660;Primas - Wolfsburg;Fahrt;
Sat;25.11.2017.12:45;106150;JET - Kaiserslautern;Sat;25.11.2017.13:15;106168;TimeTec;Fahrt;
Sat;25.11.2017.12:15;106131;TimeTec;Sat;25.11.2017.12:30;106150;JET - Kaiserslautern;Fahrt;
Fri;24.11.2017.16:30;106069;VKB - Saarbrücken;Fri;24.11.2017.17:30;106131;TimeTec;Fahrt;
Fri;24.11.2017.06:15;106004;TimeTec;Fri;24.11.2017.07:15;106069;VKB - Saarbrücken;Fahrt;
Thu;23.11.2017.17:30;105939;VKB - Saarbrücken;Thu;23.11.2017.18:30;106004;TimeTec;Fahrt;
Thu;23.11.2017.07:30;105875;TimeTec;Thu;23.11.2017.08:20;105939;VKB - Saarbrücken;Fahrt;
Wed;22.11.2017.12:00;105382;Primas - Wolfsburg;Wed;22.11.2017.18:00;105875;TimeTec;Fahrt;
Tue;21.11.2017.16:35;105379;ESSO - Pirali - WOB;Tue;21.11.2017.16:40;105382;Primas - Wolfsburg;Fahrt;
Tue;21.11.2017.16:15;105378;Primas - Wolfsburg;Tue;21.11.2017.16:20;105379;ESSO - Pirali - WOB;Fahrt;
Sun;19.11.2017.15:00;104881;TimeTec;Sun;19.11.2017.20:15;105378;Primas - Wolfsburg;Fahrt;
Sat;18.11.2017.18:20;104861;JET - Kaiserslautern;Sat;18.11.2017.18:45;104881;TimeTec;Fahrt;
Sat;18.11.2017.17:50;104843;TimeTec ;Sat;18.11.2017.18:05;104861;JET - Kaiserslautern;Fahrt;
Thu;16.11.2017.16:00;104348;Primas - WOB;Thu;16.11.2017.21:00;104843;TimeTec ;Fahrt;
Tue;14.11.2017.18:45;104342;HEM - WOB;Tue;14.11.2017.19:00;104348;Primas - WOB;Fahrt;
Tue;14.11.2017.18:15;104338;Primas - WOB;Tue;14.11.2017.18:30;104342;HEM - WOB;Fahrt;
Fri;10.11.2017.14:20;103868;Total Station - KL;Sun;12.11.2017.19:45;104338;Primas - WOB;Fahrt;
Sun;12.11.2017.13:30;103848;TimeTec ;Sun;12.11.2017.14:00;103868;Total Station - KL;Fahrt;
Fri;10.11.2017.19:00;103783;Saarbrücken - VKB;Fri;10.11.2017.20:15;103848;TimeTec ;Fahrt;
Fri;10.11.2017.13:00;103718;TimeTec;Fri;10.11.2017.14:15;103783;Saarbrücken - VKB;Fahrt;
Thu;09.11.2017.15:30;103223;Primas - Wolfsburg ;Thu;09.11.2017.21:15;103718;TimeTec;Fahrt;
Tue;07.11.2017.16:30;103220;Esso - Pirali;Tue;07.11.2017.16:45;103223;Primas - Wolfsburg ;Fahrt;
Tue;07.11.2017.16:15;103218;Primas - Wolfsburg ;Tue;07.11.2017.16:20;103220;Esso - Pirali;Fahrt;
Sun;05.11.2017.15:15;102713;TimeTec ;Sun;05.11.2017.20:00;103218;Primas - Wolfsburg ;Fahrt;
Fri;03.11.2017.11:30;102218;Primas - Wolfsburg;Fri;03.11.2017.16:30;102713;TimeTec ;Fahrt;
Wed;01.11.2017.17:40;102216;ESSO - Pirali;Wed;01.11.2017.17:50;102218;Primas - Wolfsburg;Fahrt;
Wed;01.11.2017.17:15;102215;Primas - Wolfsburg;Wed;01.11.2017.17:30;102216;ESSO - Pirali;Fahrt;
Tue;31.10.2017.15:45;101736;TimeTec;Tue;31.10.2017.21:00;102215;Primas - Wolfsburg;Fahrt;
Mon;30.10.2017.21:45;101718;ELAN Tankpubkt KL;Mon;30.10.2017.22:00;101736;TimeTec;Fahrt;
Mon;30.10.2017.21:00;101700;TimeTec;Mon;30.10.2017.21:15;101718;ELAN Tankpubkt KL;Fahrt;
Thu;26.10.2017.16:15;101203;Primas - Wolfsburg ;Thu;26.10.2017.20:45;101700;TimeTec;Fahrt;
Wed;25.10.2017.17:10;101201;Esso - Pirali - WOB;Wed;25.10.2017.17:20;101203;Primas - Wolfsburg ;Fahrt;
Wed;25.10.2017.16:45;101200;Primas - Wolfsburg ;Wed;25.10.2017.16:55;101201;Esso - Pirali - WOB;Fahrt;
Sun;22.10.2017.15:20;100735;Total - Kaiserslautern;Sun;22.10.2017.20:00;101200;Primas - Wolfsburg ;Fahrt;
Sun;22.10.2017.14:45;100715;TimeTec;Sun;22.10.2017.15:00;100735;Total - Kaiserslautern;Fahrt;
Thu;19.10.2017.16:00;100218;Primas - Wolfsburg;Thu;19.10.2017.20:30;100715;TimeTec;Fahrt;
Tue;17.10.2017.17:40;100216;Esso - Pirali - WOB;Tue;17.10.2017.17:50;100218;Primas - Wolfsburg;Fahrt;
Tue;17.10.2017.17:15;100215;Primas- Wolfsburg;Tue;17.10.2017.17:25;100216;Esso - Pirali - WOB;Fahrt;
Sun;15.10.2017.15:40;99750;Total - Kaiserslautern ;Sun;15.10.2017.20:45;100215;Primas- Wolfsburg;Fahrt;
Sun;15.10.2017.15:00;99730;TimeTec ;Sun;15.10.2017.15:20;99750;Total Kaiserslautern ;Fahrt;
Fri;13.10.2017.12:00;99234;Primas - WOB;Fri;13.10.2017.17:30;99730;TimeTec ;Fahrt;
Wed;11.10.2017.17:10;99232;Esso - Pirali - WOB;Wed;11.10.2017.17:20;99234;Primas - WOB;Fahrt;
Wed;11.10.2017.16:50;99231;Primas Wolfsburg ;Wed;11.10.2017.16:31;99232;Esso - Pirali - WOB;Fahrt;
Sun;08.10.2017.15:00;98703;TimeTec;Sun;08.10.2017.20:30;99231;Primas Wolfsburg ;Fahrt;Autobahn von KL bis KIBo gesperrt. Neue Autobahndecke
Sat;07.10.2017.19:30;98687;AGIP - Kaiserslautern;Sat;07.10.2017.20:00;98703;TimeTec;Fahrt;
Sat;07.10.2017.19:00;98670;TimeTec;Sat;07.10.2017.19:20;98687;AGIP - Kaiserslautern;Fahrt;
Fri;22.09.2017.17:40;97911;AGIP Kaiserslautern;Fri;22.09.2017.18:00;97928;TimeTec;Fahrt;
Fri;22.09.2017.17:10;97895;TimeTec;Fri;22.09.2017.17:25;97911;AGIP Kaiserslautern;Fahrt;
Thu;21.09.2017.16:00;97377;Primas Wolfsburg;Thu;21.09.2017.22:30;97895;TimeTec;Fahrt;Goettingen Fahrbahnerneuerung dann ueber Fulda
Mon;18.09.2017.17:45;97375;Esso Pirali Wolfsburg;Mon;18.09.2017.18:00;97377;Primas Wolfsburg;Fahrt;
Mon;18.09.2017.17:35;97374;Primas - Wolfsburg;Mon;18.09.2017.17:40;97375;Esso Pirali Wolfsburg;Fahrt;
Sun;17.09.2017.15:15;96880;TimeTec;Sun;17.09.2017.20:30;97374;Primas - Wolfsburg;Fahrt;Stauumfahrung - Kassler Bergre - Grosse erste Linkskurve abgeschnitten dadurch 
Sat;16.09.2017.22:15;96865;AGIP - Kaiserslautern ;Sat;16.09.2017.22:45;96880;TimeTec;Fahrt;
Sat;16.09.2017.21:40;96851;TimeTec;Sat;16.09.2017.22:00;96865;AGIP -Kaiserslautern ;Fahrt;
Fri;15.09.2017.19:00;96842;Steuer - Bertollaccini;Fri;15.09.2017.19:20;96851;TimeTec;Fahrt;
Fri;15.09.2017.18:00;96832;TimeTec;Fri;15.09.2017.18:30;96842;Steuer - Bertollaccini;Fahrt;
Thu;14.09.2017.15:30;96338;Primas - Wolfsburg;Thu;14.09.2017.21:30;96832;TimeTec;Fahrt;
Wed;13.09.2017.17:15;96336;Esso - Pirali - Wolfsburg;Wed;13.09.2017.17:20;96338;Primas - Wolfsburg;Fahrt;
Wed;13.09.2017.16:45;96335;Primas - Wolfsburg;Wed;13.09.2017.16:55;96336;Esso - Pirali - Wolfsburg;Fahrt;
Sun;10.09.2017.15:30;95841;TimeTec;Sun;10.09.2017.20:30;96335;Primas - Wolfsburg;Fahrt;
Sat;09.09.2017.16:45;95826;HEM Kaiserslautern ;Sat;09.09.2017.17:15;95841;TimeTec;Fahrt;
Sat;09.09.2017.16:00;95812;TimeTec ;Sat;09.09.2017.16:30;95826;HEM Kaiserslautern ;Fahrt;
Thu;07.09.2017.18:00;95325;Primas - Wolfsburg ;Thu;07.09.2017.22:00;95812;TimeTec ;Fahrt;
Tue;05.09.2017.17:45;95323;Esso -Pirali - WOB;Tue;05.09.2017.17:55;95325;Primas - Wolfsburg ;Fahrt;
Tue;05.09.2017.17:30;95321;Primas - Wolfsburg;Tue;05.09.2017.17:35;95323;Esso -Pirali - WOB;Fahrt;
Sun;03.09.2017.15:30;94831;TimeTec;Sun;03.09.2017.20:30;95321;Primas - Wolfsburg;Fahrt;
Sat;02.09.2017.22:30;94773;Bastenhaus - Rockenhausen;Sat;02.09.2017.23:30;94831;TimeTec;Fahrt;
Sat;02.09.2017.17:00;94719;TimeTec;Sat;02.09.2017.17:45;94773;Bastenhaus - Rockenhausen;Fahrt;Projektbesprechung - Werner Horn
Tue;29.08.2017.14:50;94710;Landstuhl Bertollaccini;Tue;29.08.2017.15:10;94719;TimeTec;Fahrt;
Tue;29.08.2017.14:00;94699;TimeTec;Tue;29.08.2017.14:30;94710;Landstuhl Bertollaccini;Fahrt;Abgabe Steuerunterlagen
Sat;26.08.2017.12:50;94682;JET Mainz. Kaiserslautern;Sat;26.08.2017.13:15;94699;TimeTec;Fahrt;
Sat;26.08.2017.12:15;94664;TimeTec;Sat;26.08.2017.12:35;94682;JET Mainz. Kaiserslautern;Fahrt;
Thu;24.08.2017.15:30;94169;Wolfsburg Primas;Thu;24.08.2017.20:45;94664;TimeTec;Fahrt;
Tue;22.08.2017.17:35;94167;HEM Wolfsburg ;Tue;22.08.2017.17:45;94169;Wolfsburg Primas;Fahrt;
Tue;22.08.2017.17:20;94164;Wolfsburg Primas;Tue;22.08.2017.17:25;94167;HEM Wolfsburg ;Fahrt;
Sun;20.08.2017.11:00;93687;Total Kaiserslautern;Sun;20.08.2017.20:00;94164;Wolfsburg Primas;Fahrt;
Sun;20.08.2017.10:30;93669;TimeTec;Sun;20.08.2017.10:50;93687;Total Kaiserslautern;Fahrt;
Fri;18.08.2017.17:00;93580;Haßloch Awacs;Fri;18.08.2017.18:15;93669;TimeTec;Fahrt;
Fri;18.08.2017.14:15;93495;TimeTec ;Fri;18.08.2017.15:15;93580;Haßloch Awacs;Fahrt;Projektbesprechung mit Herrn Horn (Tester von SQS)
Thu;17.08.2017.15:37;93012;Wolfsburg Primas;Thu;17.08.2017.20:45;93495;TimeTec ;Fahrt;
Tue;15.08.2017.20:20;93010;Esso Pirali WOB;Tue;15.08.2017.20:25;93012;Wolfsburg Primas;Fahrt;
Tue;15.08.2017.20:10;93009;Wolfsburg Primas;Tue;15.08.2017.20:15;93010;Esso Pirali WOB;Fahrt;
Sun;13.08.2017.15:00;92536;TimeTec;Sun;13.08.2017.20:00;93009;Wolfsburg Primas;Fahrt;Kassler Berge fast nur Landstrasse wegen Baustellen 
Sat;12.08.2017.18:30;92520;JET B40 Kaiserslautern;Sat;12.08.2017.19:00;92536;TimeTec;Fahrt;
Sat;12.08.2017.18:00;92503;TimeTec;Sat;12.08.2017.18:20;92520;JET B40 Kaiserslautern;Fahrt;
Fri;11.08.2017.10:30;92018;Wolfsburg Primas;Fri;11.08.2017.15:45;92503;TimeTec;Fahrt;Kassler Berge ein Teil Abkürzung wegen Bauarbeiten 
Mon;07.08.2017.19:05;92016;Esso Pirali WOB;Mon;07.08.2017.19:15;92018;Wolfsburg Primas;Fahrt;Esso Pirali
Mon;07.08.2017.18:50;92015;Wolfsburg-Primas;Mon;07.08.2017.19:00;92016;Esso-Pirali;Fahrt;
Sun;06.08.2017.15:45;91539;Total - Kaiserslautern;Sun;06.08.2017.20:00;92015;Wolfsburg - Primas;Fahrt;
Sun;06.08.2017.15:01;91519;TimeTec ;Sun;06.08.2017.15:30;91539;Total - Kaiserslautern ;Fahrt;
Sat;05.08.2017.22:00;91509;Landstuhl - Schlosshotel;Sun;06.08.2017.22:20;91519;TimeTec;Fahrt;
Sat;05.08.2017.17:45;91500;TimeTec;Sun;06.08.2017.18:00;91509;Landstuhl - Schlosshotel;Fahrt;Mitarbeitergespräch
Thu;03.08.2017.15:30;91003;Wolfsburg - Primas;Thu;03.08.2017.20:45;91500;TimeTec;Fahrt;
Tue;01.08.2017.16:30;91001;Wolfsburg - Esso - Pirali;Thu;03.08.2017.16:35;91003;Wolfsburg - Primas;Fahrt;
Tue;01.08.2017.16:15;91000;Wolfsburg - Primas;Tue;01.08.2017.16:20;91001;Wolfsburg - Esso - Pirali;Fahrt;
Sun;30.07.2017.15:15;90455;TimeTec;Sun;30.07.2017.20:15;91000;Wolfsburg - Primas;Fahrt;
Fri;28.07.2017.17:25;90437;Jet - Kaiserslautern;Fri;28.07.2017.17:55;90455;TimeTec;Fahrt;
Fri;28.07.2017.17:00;90420;TimeTec;Fri;28.07.2017.17:15;90437;Jet - Kaiserslautern;Fahrt;
Fri;28.07.2017.15:00;90411;Landstuhl - Bertollaccini;Fri;28.07.2017.15:20;90420;TimeTec;Fahrt;
Fri;28.07.2017.14:00;90402;TimeTec;Fri;28.07.2017.14:25;90411;Landstuhl - Bertollaccini;Fahrt;
Thu;27.07.2017.15:30;89906;Wolfsburg - Primas;Thu;27.07.2017.20:45;90402;TimeTec;Fahrt;
Mon;24.07.2017.16:30;89810;GOD-Braunschweig;Mon;24.07.2017.17:10;89845;Wolfsburg-Primas;Fahrt;
Mon;24.07.2017.15:14;89777;Wolfsburg-Primas;Mon;24.07.2017.15:45;89810;GOD-Braunschweig;Fahrt;
Sun;23.07.2017.22:05;89775;Esso-Pirali-Wolfsburg;Sun;23.07.2017.22:15;89777;Wolfsburg-Primas;Fahrt;
Sun;23.07.2017.17:30;89281;TimeTec;Sun;23.07.2017.21:55;89775;Esso-Pirali-Wolfsburg;Fahrt;
Fri;21.07.2017.21:45;89265;Jet-Kaiserslautern;Fri;21.07.2017.21:55;89281;TimeTec;Fahrt;
Fri;21.07.2017.21:15;89248;TimeTec;Fri;21.07.2017.21:35;89265;Jet-Kaiserslautern;Fahrt;
Thu;20.07.2017.16:00;88751;Wolfsburg-Primas;Thu;20.07.2017.20:45;89248;TimeTec;Fahrt;
Wed;19.07.2017.16:45;88749;Esso-Pirali-Wolfsburg;Thu;20.07.2017.16:50;88751;Wolfsburg-Primas;Fahrt;
Wed;19.07.2017.16:30;88747;Wolfsburg-Primas;Wed;19.07.2017.16:35;88749;Esso-Pirali-Wolfsburg;Fahrt;
Sun;16.07.2017.15:15;88255;TimeTec;Sun;16.07.2017.20:30;88747;Wolfsburg-Primas;Fahrt;
Sat;15.07.2017.16:15;88240;Aral-Steinmetz-KL;Sat;15.07.2017.16:30;88255;TimeTec;Fahrt;
Sat;15.07.2017.15:50;88225;TimeTec;Sun;16.07.2017.16:05;88240;Aral-Steinmetz-KL;Fahrt;
Thu;13.07.2017.15:30;87728;Wolfsburg-Primas;Thu;13.07.2017.21:00;88225;TimeTec;Fahrt;
Mon;10.07.2017.17:25;87726;Esso-Pirali-Wolfsburg;Mon;10.07.2017.17:45;87728;Wolfsburg-Primas;Fahrt;
Mon;10.07.2017.17:10;87725;Wolfsburg-Primas;Mon;10.07.2017.17:15;87726;Esso-Pirali-Wolfsburg;Fahrt;
Sun;09.07.2017.16:00;87505;Bremen-3D-Druck;Sun;09.07.2017.20:00;87725;Wolfsburg-Primas;Fahrt;
Thu;06.07.2017.15:30;87182;Wolfsburg-Primas;Thu;06.07.2017.21:00;87400;Bremen-3D-Druck;Fahrt;
Sun;02.07.2017.15:00;86685;TimeTec;Sun;02.07.2017.20:15;87182;Wolfsburg-Primas;Fahrt;
Thu;29.06.2017.15:30;86190;Wolfsburg-Primas;Thu;29.06.2017.21:00;86685;TimeTec;Fahrt;
Sun;25.06.2017.15:50;85691;TimeTec;Sun;25.06.2017.20:15;86190;Wolfsburg-Primss;Fahrt;
Sat;24.06.2017.21:50;85674;JET-Kaiserslautern;Sat;24.06.2017.22:05;85691;TimeTec;Fahrt;
Sat;24.06.2017.21:15;85657;TimeTec;Sat;24.06.2017.21:40;85674;JET-Kaiserslautern;Fahrt;
Thu;22.06.2017.16:30;85162;Wolfsburg-Primas;Thu;22.06.2017.21:00;85657;TimeTec;Fahrt;
Wed;21.06.2017.17:50;85160;Wolfsburg-Esso-Pirali;Wed;21.06.2017.17:00;85162;Wolfsburg-Primas;Fahrt;
Wed;21.06.2017.17:40;85159;Wolfsburg-Primas;Wed;21.06.2017.17:45;85160;Wolfsburg-Esso-Pirali;Fahrt;
Sun;18.06.2017.10:30;84669;TimeTec;Sun;18.06.2017.16:00;85159;Wolfsburg-Primas;Fahrt;
Thu;15.06.2017.15:30;84173;Wolfsburg-Primas;Thu;15.06.2017.21:45;84669;TimeTec;Fahrt;
Wed;14.06.2017.19:40;84171;Wolfsburg-Esso-Pirali;Wed;14.06.2017.19:50;84173;Wolfsburg-Primas;Fahrt;
Wed;14.06.2017.19:15;84170;Wolfsburg-Primas;Wed;14.06.2017.19:20;84171;Wolfsburg-Esso-Pirali;Fahrt;
Sun;11.06.2017.15:30;83674;TimeTec;Sun;11.06.2017.20:15;84170;Wolfsburg-Primas;Fahrt;
Sat;10.06.2017.15:00;83656;JET-Kaiserslautern;Sat;10.06.2017.15:30;83674;TimeTec;Fahrt;
Sat;10.06.2017.14:00;83640;TimeTec;Sat;10.06.2017.14:45;83656;JET-Kaiserslautern;Fahrt;
Fri;09.06.2017.03:00;83142;Wolfsburg-Primas;Fri;09.06.2017.08:45;83640;TimeTec;Fahrt;
Mon;05.06.2017.15:30;82645;TimeTec;Mon;05.06.2017.20:15;83142;Wolfsburg-Primas;Fahrt;
Sat;03.06.2017.15:45;82627;JET-Kaiserslautern;Sat;03.06.2017.16:10;82645;TimeTec;Fahrt;
Sat;03.06.2017.15:15;82611;TimeTec;Sat;03.06.2017.15:30;82627;JET-Kaiserslautern;Fahrt;
Fri;02.06.2017.12:00;82591;Landstuhl-Steuer;Fri;02.06.2017.12:20;82611;TimeTec;Fahrt;
Fri;02.06.2017.11:15;82573;TimeTec;Fri;02.06.2017.11:30;82591;Landstuhl-Steuer;Fahrt;
Thu;01.06.2017.15:30;82078;Wolfsburg-Primas;Thu;01.06.2017.20:30;82573;TimeTec;Fahrt;
Wed;31.05.2017.17:20;82076;Esso-Wolfsburg;Wed;31.05.2017.17:25;82078;Wolfsburg-Primas;Fahrt;
Wed;31.05.2017.17:00;82075;Wolfsburg-Primas;Wed;31.05.2017.17:15;82076;Esso-Wolfsburg;Fahrt;
Sun;28.05.2017.15:30;81577;TimeTec;Sun;28.05.2017.20:00;82075;Wolfsburg-Primas;Fahrt;
Fri;26.05.2017.21:00;81560;JET-Kaiserslautern;Fri;26.05.2017.21:30;81577;TimeTec;Fahrt;
Fri;26.05.2017.20:30;81542;TimeTec;Fri;26.05.2017.20:50;81560;JET-Kaiserslautern;Fahrt;
Fri;26.05.2017.11:00;81526;Landstuhl-Steuerberatung;Fri;26.05.2017.11:30;81542;TimeTec;Fahrt;
Fri;26.05.2017.10:00;81508;TimeTec;Fri;26.05.2017.10:20;81526;Landstuhl-Steuerberatung;Fahrt;
Wed;24.05.2017.17:30;81000;Wolfsburg-Primas;Wed;24.05.2017.23:32;81475;TimeTec;Fahrt;
Tue;23.05.2017.17:45;80990;Wolfsburg-Wayhausen-GOD;Tue;23.05.2017.18:10;81000;Wolfsburg-Primas;Fahrt;
Tue;23.05.2017.16:45;80981;Wolfsburg-Primas;Tue;23.05.2017.17:08;80990;Wolfsburg-Wayhausen-GOD;Fahrt;
Mon;22.05.2017.13:15;80979;Wolfsburg-Auto-Inspek.;Mon;22.05.2017.14:30;80981;Wolfsburg-Primas;Fahrt;
Mon;22.05.2017.06:20;80976;Wolfsburg-Primas;Mon;22.05.2017.06:30;80979;Wolfsburg-Auto-Inspek.;Fahrt;
Sun;21.05.2017.15:30;80495;TimeTec;Sun;21.05.2017.20:45;80976;Wolfsburg-Primas;Fahrt;
Sat;20.05.2017.21:35;80457;KL-B40-Aral;Sat;20.05.2017.21:50;80483;TimeTec;Fahrt;
Sat;20.05.2017.21:00;80434;TimeTec;Sat;20.05.2017.21:25;80457;KL-B40-Aral;Fahrt;
Sat;20.05.2017.17:00;80365;VW-Zentrum-Saarbrücken;Sat;20.05.2017.18:30;80434;TimeTec;Fahrt;
Sat;20.05.2017.12:30;80302;TimeTec;Sat;20.05.2017.13:15;80365;VW-Zentrum-Saarbrücken;Fahrt;
Fri;19.05.2017.14:30;80288;Landstuhl-Steuerberaterin;Fri;19.05.2017.15:00;80302;TimeTec;Fahrt;
Fri;19.05.2017.14:00;80275;TimeTec;Fri;19.05.2017.14:20;80288;Landstuhl-Steuerberaterin;Fahrt;
Thu;18.05.2017.17:15;79783;Wolfsburg-Primas;Thu;18.05.2017.22:30;80275;TimeTec;Fahrt;
Wed;17.05.2017.17:15;79781;Wolfsburg-Esso-Pirali;Wed;17.05.2017.17:20;79783;Wolfsburg-Primas;Fahrt;
Wed;17.05.2017.17:00;79779;Wolfsburg-Primas;Wed;17.05.2017.17:10;79781;Wolfsburg-Esso-Pirali;Fahrt;
Sun;14.05.2017.15:00;79295;TimeTec;Sun;14.05.2017.19:40;79779;Wolfsburg-Primas;Fahrt;
Fri;12.05.2017.11:00;78725;Wolfsburg-Primas;Fri;12.05.2017.17:00;79216;TimeTec;Fahrt;
Sun;07.05.2017.15:00;78261;TimeTec;Sun;07.05.2017.20:15;78725;Wolfsburg-Primas;Fahrt;
Fri;05.05.2017.10:10;77765;Wolfsburg-Primas;Fri;05.05.2017.15:15;78261;TimeTec;Fahrt;
Wed;03.05.2017.18:30;77763;Wolfsburg-Esso-Pirali;Wed;03.05.2017.18:35;77765;Wolfsburg-Primas;Fahrt;
Wed;03.05.2017.18:15;77761;Wolfsburg-Primas;Wed;03.05.2017.18:20;77763;Wolfgang-Esso-Pirali;Fahrt;
Mon;01.05.2017.15:15;77261;TimeTec;Mon;01.05.2017.20:15;77761;Wolfsburg-Primas;Fahrt;
Thu;20.04.2017.16:00;75871;Wolfsburg-Primas;Thu;20.04.2017.21:00;76367;TimeTec;Fahrt;
Wed;19.04.2017.17:45;75868;Wolfsburg-Esso-Pirali;Wed;19.04.2017.17:50;75871;Wolfsburg-Primas;Fahrt;
Wed;19.04.2017.17:30;75866;Wolfsburg-Primas;Wed;19.04.2017.17:40;75868;Wolfsburg-Esso-Pirali;Fahrt;
Mon;17.04.2017.15:30;75370;TimeTec;Mon;17.04.2017.20:20;75866;Wolfsburg-Primas;Fahrt;
Thu;13.04.2017.15:15;74843;Wolfsburg-Primas;Thu;13.04.2017.20:45;75335;TimeTec;Fahrt;
Sun;09.04.2017.15:30;74345;TimeTec;Sun;09.04.2017.20:20;74843;Wolfsburg-Primas;Fahrt;Stauumfahrung
Thu;06.04.2017.22:00;74218;Restaurant-Bastenhaus;Thu;06.04.2017.23:05;74269;TimeTec;Fahrt;
Sat;08.04.2017.18:00;74168;TimeTec;Sat;08.04.2017.18:45;74218;Restaurant-Bastenhaus;Fahrt;Projektbesprechung
Thu;06.04.2017.15:45;73673;Wolfsburg-Primas;Thu;06.04.2017.20:30;74168;TimeTec;Fahrt;Stauumfahrung
Sun;02.04.2017.15:30;73100;TimeTec;Sun;02.04.2017.20:30;73599;Wolfsburg-Primas;Fahrt;Stauumfahrung
Thu;30.03.2017.16:00;72587;Wolfsburg-Primas;Thu;30.03.2017.20:45;73085;TimeTec;Fahrt;Stauumfahrung
Wed;29.03.2017.18:15;72585;Wolfsburg-Esso-Pirali;Wed;29.03.2017.18:30;72587;Wolfsburg-Primas;Fahrt;Stauumfahrung
Wed;29.03.2017.18:00;72583;Wolfsburg-Primas;Wed;29.03.2017.18:10;72585;Wolfsburg-Esso-Pirali;Fahrt;
Mon;27.03.2017.13:00;72458;VW-Salzgitter;Mon;27.03.2017.13:45;72502;Wolfsburg-Primas;Fahrt;Stauumfahrung
